# x y nx ny 
271.031 481.331 -0.142503 -0.989794
285.386  479.12 -0.271324 -0.962488
298.773  473.51 -0.270028 -0.962853
312.973  471.39 -0.024168 -0.999708
327.448 472.809  0.119336 -0.992854
341.845  474.86 0.0932226 -0.995645
356.376 475.518 -0.0251171  -0.999685
370.802 474.131 -0.285292 -0.958441
383.509 467.432 -0.917162 -0.398515
385.922 453.948 -0.986312 -0.164892
386.953 441.691 -0.933771 -0.357872
392.831 429.962 -0.998194 0.0600762
385.786 417.283 -0.779438  0.626479
375.024 407.823 -0.533188  0.845997
361.666 402.067 -0.602708  0.797962
353.246 391.278   -0.99998 0.00636636
363.071 384.364 -0.410366 -0.911921
377.075 380.395 -0.320878 -0.947121
390.592  375.04 -0.482556 -0.875865
402.27 366.51 -0.619289 -0.785163
413.344 357.096  -0.69817 -0.715932
423.041 346.254 -0.856326 -0.516435
432.479 335.167 -0.824662 -0.565626
 439.34 322.468 -0.827018 -0.562176
445.504 309.345 -0.962354 -0.271799
450.702 295.853 -0.982173  0.187981
450.871 281.328  -0.99896 0.0456026
449.379 266.868 -0.97224 0.233986
444.826 253.784 -0.976651 -0.214833
455.821 247.257 -0.525772 -0.850626
467.502 238.928  -0.75969 -0.650286
475.068 226.638 -0.952743  0.303779
476.014 212.232 -0.995882 0.0906624
472.479 198.144 -0.968207   0.25015
468.742 184.084 -0.977588  0.210529
 466.36 169.732 -0.986761  0.162181
 464.02 155.356 -0.999184 0.0403894
 465.2 140.93 -0.993444  0.114323
460.777 127.198 -0.83245   0.5541
449.848 117.878 -0.505101   0.86306
436.215 112.811 -0.294318  0.955707
422.088 109.329 -0.251752  0.967792
408.695 105.649 -0.780164  0.625575
407.237 91.1608 -0.994975  0.100121
405.779 76.6768 -0.986009  0.166691
402.401 62.5578 -0.935884  0.352308
395.679 49.8678 -0.704323  0.709879
382.845 43.1338 -0.210798   0.97753
368.449 44.0028 0.355984 0.934492
355.857 51.7078 0.844111 0.536168
353.527 66.8008   0.996914 -0.0785065
 355.02 81.2258  0.90178 0.432195
360.163 94.8148 0.516433 0.856328
353.819 94.1278 -0.234265  0.972173
342.909 84.4898 -0.29162 0.956534
332.117 74.7208 -0.652211  0.758038
320.853 65.5128 -0.608992  0.793177
309.047 57.0078 -0.560781  0.827964
296.759 49.1938 -0.535292  0.844667
284.496 41.4498 -0.548279  0.836296
272.456 33.2608 -0.545749  0.837949
260.103 25.5618 -0.41457 0.910017
246.582 21.4958 0.196699 0.980464
 235.26 30.4728 0.764407 0.644734
228.261 43.0848 0.822954 0.568108
225.162 57.2308   0.995683 -0.0928154
225.586 71.7568  0.969379 -0.245568
232.088 84.4988  0.783857 -0.620942
243.132 93.9298  0.559931 -0.828539
256.012 100.667  0.437505 -0.899216
269.284 106.654   0.40087 -0.916135
282.668 112.331  0.431133 -0.902288
295.493 119.177  0.469868 -0.882737
308.351 126.002  0.491561 -0.870843
320.812 133.469  0.530932 -0.847414
332.965 141.423  0.824017 -0.566565
 335.42 154.944   0.995925 -0.0901891
330.574 168.627  0.998315 0.0580234
321.626 180.018 0.574449  0.81854
307.981 184.465 0.288952 0.957344
293.983 188.363 0.273907 0.961756
280.049  192.42  0.09506 0.995472
 265.63 191.069 -0.169144  0.985591
251.523 187.526 -0.24806 0.968745
237.435 183.849 -0.243243  0.969965
223.282 180.444 -0.204287  0.978911
208.964 177.908 -0.121988  0.992532
194.447 176.899 -0.0368414   0.999321
179.896 176.836 0.0386137  0.999254
165.431 178.021 0.214754 0.976668
151.773 183.019 0.393408 0.919364
138.718 189.452  0.47724 0.878773
126.217 196.897 0.567348 0.823478
114.817 205.919 0.659128  0.75203
104.123 215.162 0.725596 0.688121
95.1071 227.267 0.742014 0.670385
  86.94 239.299 0.832799 0.553575
 79.295 251.715 0.958039 0.286638
 74.181 265.395 0.852343 0.522983
  68.95 279.992 0.978726 0.205173
 67.279 293.609  0.988524 -0.151062
 65.447 308.043    0.9943 -0.106623
 64.176 322.546   0.998241 -0.0592836
 63.735 336.901  0.68304 0.730381
 49.186 336.739 0.170737 0.985317
 35.868 341.751 0.605563 0.795797
 26.879 353.098 0.939887 0.341486
 25.787 367.666   0.999997 -0.0025838
 27.346 382.136  0.979425 -0.201807
 31.624 395.988 0.895933 -0.44419
 40.058 407.776  0.748117 -0.663567
 50.777 417.584  0.619113 -0.785302
 62.824 425.725  0.516586 -0.856235
 75.646 432.587 0.427279 -0.90412
89.0961 438.141  0.346664 -0.937989
102.911 442.664  0.299092 -0.954224
116.842 446.837  0.505331 -0.862926
127.248 456.921   0.65725 -0.753672
138.618 465.827  0.458552 -0.888668
152.525 469.969  0.221991 -0.975049
166.893 472.265  0.133278 -0.991079
 181.37 473.848  0.101192 -0.994867
195.848  475.21 0.0968871 -0.995295
210.344 476.668  0.103085 -0.994673
224.816 478.212  0.107156 -0.994242
239.278 479.787  0.105711 -0.994397
253.758 481.289  0.058821 -0.998269
268.289 481.496 0.0063285  -0.99998
